uniprot_id,signal_id,start_pos,end_pos,signal_type
O75489,O75489_0,0,35,MT
Q96BY9,Q96BY9_0,0,29,SP
P55263,P55263_0,7,15,NLS
Q9NPA0,Q9NPA0_0,0,22,SP
Q9NPA0,Q9NPA0_1,164,179,TM
Q8TCT7,Q8TCT7_0,0,24,SP
Q92896,Q92896_0,0,28,SP
Q92896,Q92896_1,1146,1165,TM
Q96GM8,Q96GM8_0,334,346,NLS
Q12907,Q12907_0,0,43,SP
Q12907,Q12907_1,322,344,TM
Q7Z6M4,Q7Z6M4_0,0,41,MT
Q8NI60,Q8NI60_0,0,161,MT
Q86WB0,Q86WB0_0,395,401,NLS
P11279,P11279_0,0,27,SP
P11279,P11279_1,382,404,TM
P78545,P78545_0,101,111,NES
P78545,P78545_1,274,283,NES
Q9C0C9,Q9C0C9_0,511,535,NLS
O75554,O75554_0,116,121,NLS
O95571,O95571_0,0,6,MT
Q6ZN17,Q6ZN17_0,111,124,NLS
Q6ZN17,Q6ZN17_1,238,249,NLS
Q8IXJ6,Q8IXJ6_0,40,50,NES
P23497,P23497_0,532,537,NLS
O43653,O43653_0,0,19,SP
O43653,O43653_1,36,113,GPI
Q9H814,Q9H814_0,129,138,NES
P15260,P15260_0,0,16,SP
P15260,P15260_1,246,269,TM
Q15084,Q15084_0,0,18,SP
Q9UHK6,Q9UHK6_0,379,381,PTS
Q96E29,Q96E29_0,0,67,MT
Q9BUF7,Q9BUF7_0,0,25,SP
Q9BUF7,Q9BUF7_1,55,78,TM
P53801,P53801_0,121,126,NLS
P78423,P78423_0,0,23,SP
P78423,P78423_1,341,361,TM
Q16790,Q16790_0,0,36,SP
Q16790,Q16790_1,411,432,TM
Q13261,Q13261_0,0,29,SP
Q13261,Q13261_1,205,227,TM
Q9UIB8,Q9UIB8_0,0,20,SP
Q9UIB8,Q9UIB8_1,224,245,TM
O00443,O00443_0,1607,1618,NLS
Q99757,Q99757_0,0,58,MT
P57087,P57087_0,0,27,SP
Q8NG08,Q8NG08_0,1054,1077,NES
P10606,P10606_0,0,30,MT
O14561,O14561_0,0,67,MT
Q10589,Q10589_0,102,179,GPI
Q96T23,Q96T23_0,1083,1088,NLS
Q8NFU5,Q8NFU5_0,169,178,NES
P18583,P18583_0,2033,2038,NLS
Q8NFC6,Q8NFC6_0,573,578,NLS
O95980,O95980_0,893,970,GPI
O95866,O95866_0,0,16,SP
Q9UII2,Q9UII2_0,0,24,MT
O43543,O43543_0,215,220,NES
Q8NAG6,Q8NAG6_0,270,279,NES
Q8NAG6,Q8NAG6_1,578,585,NLS
Q9NRG9,Q9NRG9_0,543,545,PTS
P09326,P09326_0,0,25,SP
P09326,P09326_1,165,242,GPI
Q9H6E4,Q9H6E4_0,0,21,SP
O14842,O14842_0,6,27,TM
P38398,P38398_0,21,29,NES
P38398,P38398_1,80,98,NES
Q13485,Q13485_0,139,148,NES
P17813,P17813_0,0,24,SP
P17813,P17813_1,586,612,TM
Q02763,Q02763_0,0,21,SP
Q02763,Q02763_1,746,769,TM
P31942,P31942_0,108,116,NLS
P52739,P52739_0,136,147,NLS
P52739,P52739_1,316,327,NLS
Q13162,Q13162_0,0,36,SP
P06748,P06748_0,41,48,NES
P06748,P06748_1,93,101,NES
Q06787,Q06787_0,423,442,NES
Q06787,Q06787_1,526,533,NLS
Q7RTP6,Q7RTP6_0,662,683,NLS
P49711,P49711_0,591,597,NLS
Q15392,Q15392_0,0,21,SP
Q15392,Q15392_1,32,51,TM
Q86Y78,Q86Y78_0,0,21,SP
Q92956,Q92956_0,0,37,SP
Q92956,Q92956_1,205,224,TM
Q99523,Q99523_0,0,32,SP
Q99523,Q99523_1,773,788,TM
Q13740,Q13740_0,0,26,SP
Q13740,Q13740_1,526,548,TM
Q15397,Q15397_0,105,117,NLS
Q8NFP4,Q8NFP4_0,877,954,GPI
Q8NBL1,Q8NBL1_0,0,22,SP
Q86YT9,Q86YT9_0,0,18,SP
O95831,O95831_0,0,53,MT
Q04837,Q04837_0,0,15,MT
Q86TM6,Q86TM6_0,0,21,SP
Q86TM6,Q86TM6_1,32,57,TM
P04181,P04181_0,0,34,MT
P08138,P08138_0,0,27,SP
P08138,P08138_1,250,271,TM
Q9UM73,Q9UM73_0,0,17,SP
Q9UM73,Q9UM73_1,1033,1048,TM
Q95460,Q95460_0,0,21,SP
Q01638,Q01638_0,0,17,SP
Q01638,Q01638_1,338,358,TM
O43914,O43914_0,0,20,SP
O43914,O43914_1,42,63,TM
Q03405,Q03405_0,0,21,SP
P30044,P30044_0,211,213,PTS
Q8NCC3,Q8NCC3_0,0,32,SP
P26006,P26006_0,0,31,SP
P37173,P37173_0,0,21,SP
P37173,P37173_1,169,187,TM
Q03431,Q03431_0,0,25,SP
Q03431,Q03431_1,192,209,TM
Q9Y624,Q9Y624_0,0,26,SP
Q14653,Q14653_0,135,149,NES
O75509,O75509_0,0,40,SP
O75509,O75509_1,349,369,TM
Q9NQS7,Q9NQS7_0,64,69,NLS
Q13309,Q13309_0,66,72,NLS
O95232,O95232_0,288,293,NLS
Q8IV63,Q8IV63_0,48,63,NLS
Q14190,Q14190_0,366,385,NLS
Q15043,Q15043_0,0,29,SP
Q15043,Q15043_1,153,174,TM
Q9UGT4,Q9UGT4_0,0,26,SP
Q9UGT4,Q9UGT4_1,784,807,TM
O15381,O15381_0,217,231,NLS
Q969Z4,Q969Z4_0,0,24,SP
Q9BZR6,Q9BZR6_0,0,25,SP
Q9BZR6,Q9BZR6_1,395,472,GPI
P02649,P02649_0,0,17,SP
P13073,P13073_0,0,21,MT
Q96S66,Q96S66_0,0,17,SP
Q96S66,Q96S66_1,182,202,TM
P25445,P25445_0,0,24,SP
P25445,P25445_1,173,190,TM
P31785,P31785_0,0,21,SP
P31785,P31785_1,261,282,TM
Q06136,Q06136_0,0,24,SP
Q06136,Q06136_1,293,308,TM
O43567,O43567_0,0,33,SP
O43567,O43567_1,181,202,TM
P27797,P27797_0,0,16,SP
Q13651,Q13651_0,0,20,SP
Q13651,Q13651_1,235,255,TM
Q07021,Q07021_0,0,72,MT
Q9BWV1,Q9BWV1_0,0,29,SP
Q9BWV1,Q9BWV1_1,855,877,TM
Q86UN2,Q86UN2_0,363,440,GPI
P23284,P23284_0,0,32,SP
P07237,P07237_0,0,16,SP
P36957,P36957_0,0,66,MT
P25705,P25705_0,0,42,MT
P40189,P40189_0,0,21,SP
P40189,P40189_1,619,640,TM
Q15155,Q15155_0,0,30,SP
Q15155,Q15155_1,1158,1173,TM
Q9P246,Q9P246_0,0,13,SP
Q9P246,Q9P246_1,217,234,TM
Q15904,Q15904_0,0,40,SP
Q15904,Q15904_1,425,449,TM
P10909,P10909_0,0,21,SP
P10124,P10124_0,0,26,SP
O00206,O00206_0,0,22,SP
