protein1,protein2
P20645,Q9NZ52
P20645,Q9UJY4
P20645,Q9UJY5
P20645,P11717
P20645,O60664
O14792,Q7LGA3
O14792,Q6IMI6
O14792,O43704
O14792,O75897
P13569,P22612
P13569,Q99942
P13569,P27824
P13569,P07477
P13569,Q9HD26
P13569,Q9UQC9
P13569,P51168
P13569,Q86UT5
P13569,Q7LBE3
P13569,P31946
P13569,Q9UGI9
P13569,Q9BUN8
P13569,P17612
P13569,P40879
P13569,P25685
P13569,P55011
P13569,P54619
P13569,P51170
P13569,P25092
P13569,O43741
P13569,P11142
P13569,Q15599
P13569,O95433
P13569,P51572
P13569,Q9Y478
P13569,P07900
P13569,P48048
P13569,Q02747
P13569,P21333
P13569,Q9UGJ0
P13569,P61981
P13569,Q5XXA6
P13569,P37088
P13569,Q13131
P13569,P22694
P13569,P34932
P13569,P55072
P13569,P08238
P13569,P54646
P13569,P00995
P13569,Q9BXS9
P13569,Q5T2W1
P13569,Q14694
P13569,P31689
P13569,P15311
P13569,P63104
P13569,Q9UBN7
P13569,O14745
P13569,A8K7I4
P13569,P48764
P13569,Q9UNE7
Q16850,Q15738
Q16850,O15503
Q16850,Q15392
Q16850,Q99720
Q16850,P14060
Q16850,Q01581
Q16850,P16435
Q16850,P14324
Q16850,Q9UKR5
Q16850,Q9H2F3
Q16850,O75845
Q16850,P56937
Q16850,P26439
Q16850,O00264
Q16850,P53602
Q16850,Q12772
Q16850,Q9UBM7
Q16850,Q14739
Q16850,P48449
Q16850,P54868
Q16850,O95992
Q16850,Q9BXS1
Q16850,Q96IV6
Q16850,Q13907
Q16850,Q13427
Q16850,Q14534
Q16850,P04035
Q16850,O76062
Q16850,Q15800
Q16654,P10515
Q16654,Q9UBK2
Q16654,P21796
Q16654,P38646
Q16654,Q14573
Q9Y6N9,Q9UKN7
Q9Y6N9,Q6ZRI0
Q9Y6N9,Q8WXG9
Q9Y6N9,Q13402
Q9Y6N9,O75445
Q9Y6N9,Q6PIF6
Q9Y6N9,Q9BYE9
Q9Y6N9,Q9HBM0
Q9Y6N9,Q9P202
Q9Y6N9,Q8N6Y0
Q9Y6N9,O75838
Q9Y6N9,P58418
Q9Y6N9,Q9H5P4
Q9Y6N9,Q9Y6M7
Q9Y6N9,Q9H251
Q9Y6N9,Q9HBB8
Q9Y6N9,Q495M9
Q9Y6N9,Q8N8V4
O14641,P50148
O14641,Q92837
O14641,Q9UM47
O14641,P56704
O14641,Q8TAA9
O14641,Q92997
O14641,Q53G59
O14641,Q9NPG1
O14641,Q9NYF0
O14641,Q14134
O14641,Q13467
O14641,Q9NZC7
O14641,O75474
O14641,Q8NEV1
O14641,P35222
O14641,O14640
O14641,Q9Y2T1
O14641,P46531
O14641,Q969F2
O14641,Q96MT3
O14641,Q9GZV5
O14641,P32121
O14641,P67870
O14641,Q9ULV1
O14641,O43900
O14641,O75084
O14641,Q14332
O14641,Q04721
O14641,P19784
O14641,Q9P219
O14641,Q969G9
O14641,O75581
O14641,Q9H461
O14641,P25054
O14641,Q9UP38
O14641,Q13145
O14641,P49841
O14641,O15169
O14641,P41221
O14641,P68400
O14641,Q9NPB6
O14641,Q9HC62
O14641,P49674
O14641,P53350
O14641,P49407
O14641,Q7Z3G6
O14641,Q99466
O14641,O60353
O14641,Q2TBC4
O14641,Q9Y4D1
O14641,Q9ULK5
O14641,Q9Y283
O14641,O96014
O14641,Q86T65
O14641,O00144
O14641,O95996
O14641,O75197
Q9H6T3,Q9NUG6
Q9H6T3,Q9Y265
