protein_id,motif_ac,start_pos,end_pos,score,length
A0A087X0K9,PS50106,23,110,0,88
A0A087X0K9,PS50106,186,264,0,79
A0A087X0K9,PS50106,421,502,0,82
A0A087X0K9,PS50002,516,584,0,69
A0A087X0K9,PS50052,690,791,0,102
A0A087X0K9,PS51145,1634,1768,0,135
A0A1B0GTU4,PS50023,846,905,0,60
A0A1B0GTU4,PS00478,848,881,,34
A0A1B0GTU4,PS50023,906,963,0,58
A0A1B0GTU4,PS00478,907,940,,34
A0A1B0GTU4,PS50023,964,1023,0,60
A0A1B0GTU4,PS00478,966,999,,34
A0A1B0GTU4,PS50023,1024,1081,0,58
A0A1B0GTU4,PS00478,1025,1058,,34
A0A2R8YG42,PS50021,1,112,0,112
A0A2R8YG42,PS50002,163,222,0,60
A0A2R8YG42,PS50010,250,430,0,181
A0A2R8YG42,PS00741,378,403,,26
A0A2R8YG42,PS50003,452,557,1,106
A0A6Q8PGB0,PS00115,1593,1599,,7
A0A6Q8PGB0,PS00115,1615,1621,,7
A0A6Q8PGB0,PS00115,1622,1628,,7
A0A6Q8PGB0,PS00115,1629,1635,,7
A0A6Q8PGB0,PS00115,1636,1642,,7
A0A6Q8PGB0,PS00115,1643,1649,,7
A0A6Q8PGB0,PS00115,1650,1656,,7
A0A6Q8PGB0,PS00115,1657,1663,,7
A0A6Q8PGB0,PS00115,1664,1670,,7
A0A6Q8PGB0,PS00115,1671,1677,,7
A0A6Q8PGB0,PS00115,1678,1684,,7
A0A6Q8PGB0,PS00115,1685,1691,,7
A0A6Q8PGB0,PS00115,1692,1698,,7
A0A6Q8PGB0,PS00115,1699,1705,,7
A0A6Q8PGB0,PS00115,1706,1712,,7
A0A6Q8PGB0,PS00115,1713,1719,,7
A0A6Q8PGB0,PS00115,1720,1726,,7
A0A6Q8PGB0,PS00115,1727,1733,,7
A0A6Q8PGB0,PS00115,1734,1740,,7
A0A6Q8PGB0,PS00115,1741,1747,,7
A0A6Q8PGB0,PS00115,1748,1754,,7
A0A6Q8PGB0,PS00115,1755,1761,,7
A0A6Q8PGB0,PS00115,1762,1768,,7
A0A6Q8PGB0,PS00115,1769,1775,,7
A0A6Q8PGB0,PS00115,1776,1782,,7
A0A6Q8PGB0,PS00115,1783,1789,,7
A0A6Q8PGB0,PS00115,1790,1796,,7
A0A6Q8PGB0,PS00115,1797,1803,,7
A0A6Q8PGB0,PS00115,1818,1824,,7
A0A6Q8PGB0,PS00115,1825,1831,,7
A0A6Q8PGB0,PS00115,1839,1845,,7
A0A6Q8PGB0,PS00115,1853,1859,,7
A0A6Q8PGB0,PS00115,1860,1866,,7
A0A6Q8PGB0,PS00115,1867,1873,,7
A0A6Q8PGB0,PS00115,1874,1880,,7
A0A6Q8PGB0,PS00115,1888,1894,,7
A0A6Q8PGB0,PS00115,1902,1908,,7
A0A6Q8PGB0,PS00115,1909,1915,,7
A0A6Q8PGB0,PS00115,1916,1922,,7
A0A6Q8PGB0,PS00115,1923,1929,,7
A0A6Q8PGB0,PS00115,1930,1936,,7
A0A6Q8PGB0,PS00115,1947,1953,,7
A0A804HJG7,PS50077,168,206,0,39
A0A804HKD7,PS01179,136,251,0,116
A0A804HKD7,PS50086,538,724,0,187
A0A804HKE7,PS51491,2068,2098,0,31
A0A804HKE7,PS00229,2085,2097,,13
A0A804HKE7,PS51491,2137,2167,0,31
A0A804HKE7,PS00229,2154,2166,,13
A0A804HKE7,PS51491,2168,2198,0,31
A0A804HKE7,PS00229,2185,2197,,13
A0A804HKE7,PS51491,2199,2230,0,32
A0A804HKE7,PS00229,2217,2229,,13
A0A8I5KYC8,PS50102,333,411,0,79
A0A8V8TLP7,PS50077,168,206,0,39
A0AV96,PS50102,71,144,0,74
A0AV96,PS50102,151,233,0,83
A0AV96,PS50102,246,318,0,73
A1L167,PS50127,1,154,0,154
A1L188,PS51808,22,69,0,48
A1L1A6,PS50835,20,128,0,109
A1Z1Q3,PS51154,59,240,0,182
A2A288,PS50103,248,279,0,32
A2RRP1,PS00527,2207,2229,,23
A4UGR9,PS51389,362,377,0,16
A4UGR9,PS51389,397,412,0,16
A4UGR9,PS51389,437,452,0,16
A4UGR9,PS51389,474,489,0,16
A4UGR9,PS51389,512,527,0,16
A4UGR9,PS51389,552,567,0,16
A4UGR9,PS51389,590,605,0,16
A4UGR9,PS51389,628,643,0,16
A4UGR9,PS51389,661,676,0,16
A4UGR9,PS51389,695,710,0,16
A4UGR9,PS51389,732,747,0,16
A4UGR9,PS51389,768,783,0,16
A4UGR9,PS51389,799,814,0,16
A4UGR9,PS51389,837,852,0,16
A4UGR9,PS51389,875,890,0,16
A4UGR9,PS51389,914,929,0,16
A4UGR9,PS51389,947,962,0,16
A4UGR9,PS51389,985,1000,0,16
A4UGR9,PS51389,1020,1035,0,16
A4UGR9,PS51389,1059,1074,0,16
